what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.google.gdt.eclipse.appengine.rpc,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.appengine.rpc",1347589960062
stopped,bundle,com.google.gdt.eclipse.gph.e36,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.gph.e36",1347589960131
stopped,bundle,com.google.gdt.eclipse.gph.hge,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.gph.hge",1347589960278
stopped,bundle,com.google.gdt.eclipse.gph.subclipse,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.gph.subclipse",1347589960378
stopped,bundle,com.google.gdt.eclipse.gph.subversive,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.gph.subversive",1347589960385
stopped,bundle,com.google.gdt.eclipse.suite.ext,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.suite.ext",1347589960386
stopped,bundle,com.google.gdt.eclipse.gph,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.gph",1347589960447
stopped,bundle,com.google.gdt.eclipse.maven.e35,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.maven.e35",1347589960506
stopped,bundle,com.google.gdt.eclipse.maven,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.maven",1347589960579
stopped,bundle,com.google.gdt.eclipse.suite,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.suite",1347589960579
stopped,bundle,com.google.gdt.eclipse.appsmarketplace,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.appsmarketplace",1347589960633
stopped,bundle,com.google.appengine.eclipse.core,2.5.2.v201202290255-rel-r36,"com.google.appengine.eclipse.core",1347589960633
stopped,bundle,com.google.gdt.eclipse.login,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.login",1347589960633
stopped,bundle,com.google.gdt.eclipse.managedapis,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.managedapis",1347589960633
stopped,bundle,com.google.gwt.eclipse.sdkbundle,2.4.0.relr36v201110112027,"com.google.gwt.eclipse.sdkbundle",1347589961042
stopped,bundle,com.google.gwt.eclipse.oophm,2.5.2.v201202290255-rel-r36,"com.google.gwt.eclipse.oophm",1347589961222
stopped,bundle,com.google.gwt.eclipse.core,2.5.2.v201202290255-rel-r36,"com.google.gwt.eclipse.core",1347589961222
stopped,bundle,com.google.gdt.eclipse.core,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.core",1347589961222
stopped,bundle,com.google.gdt.eclipse.platform,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.platform",1347589961288
stopped,bundle,com.google.gdt.eclipse.platform.e36,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.platform.e36",1347589961288
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1347589961418
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,17.0.0.v201203161636-291853,"overlay.com.android.ide.eclipse.adt.overlay",1347589961556
stopped,bundle,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.adt",1347589961556
stopped,bundle,org.eclipse.mylyn.java.tasks,3.7.0.v20120319-0200,"org.eclipse.mylyn.java.tasks",1347589961649
stopped,bundle,org.eclipse.mylyn.java.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.java.ui",1347589961649
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1347589961649
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1347589962003
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1347589962003
stopped,bundle,com.google.gdt.eclipse.platform.shared,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.platform.shared",1347589962003
stopped,bundle,com.python.pydev.codecompletion,2.5.0.2012040618,"com.python.pydev.codecompletion",1347589962192
stopped,bundle,com.python.pydev.refactoring,2.5.0.2012040618,"com.python.pydev.refactoring",1347589962281
stopped,bundle,com.python.pydev.analysis,2.5.0.2012040618,"com.python.pydev.analysis",1347589962281
stopped,bundle,com.python.pydev.debug,2.5.0.2012040618,"com.python.pydev.debug",1347589962362
stopped,bundle,com.python.pydev.fastparser,2.5.0.2012040618,"com.python.pydev.fastparser",1347589962394
stopped,bundle,org.python.pydev.red_core,2.5.0.2012040618,"org.python.pydev.red_core",1347589962395
stopped,bundle,com.python.pydev,2.5.0.2012040618,"com.python.pydev",1347589962442
stopped,bundle,org.python.pydev.django,2.5.0.2012040618,"org.python.pydev.django",1347589962591
stopped,bundle,org.python.pydev.customizations,2.5.0.2012040618,"org.python.pydev.customizations",1347589962739
stopped,bundle,org.python.pydev.debug,2.5.0.2012040618,"org.python.pydev.debug",1347589962739
stopped,bundle,org.python.pydev.mylyn,0.3,"org.python.pydev.mylyn",1347589962823
stopped,bundle,org.python.pydev.refactoring,2.5.0.2012040618,"org.python.pydev.refactoring",1347589963006
stopped,bundle,org.python.pydev.django_templates,2.5.0.2012031515,"org.python.pydev.django_templates",1347589963006
stopped,bundle,org.python.pydev,2.5.0.2012040618,"org.python.pydev",1347589963006
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1347589963707
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1347589964113
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1347589964455
