PISHARATH ~ PISHARODY | P
DHIRANI ~ KHIMRAJ | BACHANI
CHAUHAN ~ GANGARAM | BANKER
KHAMBHATTA ~ MISTRY | BABUBHAI
SETTY ~ RAMESH | A
PADMANABHAN ~ PARAMESWARAN | APPASWAMI
NAIK ~ KALYANJI | DESAI
CHOUGULE ~ KHANDERAO | SHINDE
RAMASUBBIAH ~ GOPALAIAH | SATHYANARAYANA
GOTHI ~ UMEDBHAI | HAGHARA
PATEL ~ HINGRAJIYA | GOKALBHAI
KULKARNI ~ DESHPANDE | CHANDRAKANT
MEHTA ~ SHAH | SHANTILAL
BADHAN ~ HARI | NERKAR
PAL ~ DHANDHLA | JADAVJIBHAI
KASTURE ~ BIDKAR | PANDHARINATH
DESAI ~ AMRUTLAL | NAIK
AMIN ~ RAVJIBHAI | PATEL
PATIL ~ HADALGERI | HANUMANTH
KANDI ~ RAKE | DEELIP
ACHARYA ~ BHAGWANDAS | SADHU
BADHAN ~ DHIKA | WANI
SHARMA ~ KISHAN | PRABHAKAR
HARDIKAR ~ BHAT | NARAYAN
SHAH ~ SOMALAL | PARIKH
YAGNIK ~ PATHAK | LALBHAI
SIVARAMAKRISHNAN ~ SUBRAMANYAN | ANANTHANARAYANAN
JOSHI ~ ABANE | DINKAR
KHARVAR ~ LALWALA | POONAMCHAND
PANDYA ~ JOSHI | RASIKBHAI
DEVNALKAR ~ PRADHAN | KRISHNAKUMAR
BHOSALE ~ KISHOR | SHRIRAM
PATEL ~ NANAVATI | RANJIKANT
SHASTRI ~ SADASHIV | SHUKLA
DEORE ~ KAPADNIS | BALASAHEB
PATEL ~ LAXMANBHAI | GAMI
GOGATE ~ DESHPANDE | SIDHIKANTRAO
MAHATMA ~ CHHOTALAL | GHARIWALA
VAGHELA ~ LADVA | KANTILAL
MISTRY ~ GAJJAR | BHOGILAL
BHATT ~ UPADHYAY | HARSHADRAY
BHATT ~ JAGDISHCHANDRA | PANDYA
GATTANI ~ MARU | RAMESHVAR
MISTRY ~ NARHARILAL | PATEL
PRABHUDAS ~ JOSHI | KANUBHAI
POSHIYA ~ BHUVANBHAI | DHIRAJLAL
KAMLESHKUMAR ~ AMBALAL | PATEL
GAURI ~ JADHAV | MAHADEO
OZA ~ MEHTA | KANTILAL
BHARADWAJ ~ BHASIN | SUBHASH
YADAV ~ SINGH | CHANDER
RUGHWANI ~ GURBANI | LACHIRAM
JAT ~ CHOUDHARY | GOPAL
PARIKH ~ JATASHANKAR | TRIVEDI
KOTHARI ~ DALAKOTI | SH
DESAI ~ PATEL | KIRITBHAI
MISHRA ~ OJHA | SADA
MISHRA ~ TIWARY | NARAYAN
NUTHI ~ MALLESHAM | N
NAGARAJU ~ SRISAILAM | SRI
GOENKA ~ GUPTA | CHANDER
GUPTA ~ MANGAL | LAXMI
SHRIVASH ~ SHRIVAS | CHUNNILAL
PANDE ~ TRIPATHI | DWARIKA
KUMAR ~ LAL | MADAN
RAKSHE ~ BADRINARAYAN | KALANTRI
TUMULURI ~ SURYANARAYANA | CHALLA
SHARMA ~ KUMAR | BALBIR
PASUMARTHI ~ RAO | PABBATHI
VERMA ~ MEENA | SUKH
PAL ~ BHOWMICK | ARUN
NARKAR ~ JAGUSHTE | SUBHASH
CHAUDHURI ~ GANGULY | NITAI
MISRA ~ SHARMA | SRI
PATEL ~ RAMCHANDDAS | NARANDAS
TANK ~ DEVSANGBHAI | CHUDASMA
DUARAH ~ DEBNATH | SATISH
KUMAR ~ RAM | KANSHI
BADHWAR ~ SHARMA | SHIV
SOLANKI ~ PARMAR | DHANJIBHAI
GUPTA ~ PURWAR | LOKANATHA
ROSE ~ SINGH | MAHENDRA
DAS ~ KARN | AWADH
DHEMBLA ~ SONI | PISHORI
MAHESHWARI ~ LAKHOTIYA | KRISHAN
KOTHARI ~ SOMANI | RAMKARAN
KUMAR ~ SINGH | MALKHAN
BHATT ~ LAL | SHARMA
AGARWAL ~ SUREKA | BIJAY
KAPOOR ~ ARORA | SH
NAIK ~ JIVANJI | DESAI
MUKHOPADHYAY ~ GANGULY | SOMNATH
SHARMA ~ SINGH | MAHENDER
ASNANI ~ GULABWANI | MANUMAL
VARMA ~ VIDYARTHI | KRISHNA
MISHRA ~ THAKUR | CHANDRANAN
KUMAR ~ MAL | SAI
MAHAJAN ~ GUPTA | KEWAL
DUGGIRALA ~ RAO | LAKSHMANA
OJHA ~ VYAS | PRATAPJI
AGARWAL ~ GOYAL | LAKHMI
CHAKRAVARTY ~ SREENIVOS | PRATIVADA
AGGARWAL ~ AGARWAL | SHYAM
CHAKRABARTY ~ BHATTACHARJEE | SADHAN
GOYAL ~ GARG | RAJESHWAR
GUPTA ~ PRASAD | KALYAN
JOSHI ~ PANDYA | KANTILAL
KOLLI ~ REDDY | PITCHI
SANGWAN ~ CHAND | DAYA
VASHISHT ~ SHARMA | SHIV
TUMBDE ~ KHAPRE | LAXMAN
PRABHAKAR ~ AGRAHARI | PASHUPATHI
RATHI ~ BHOOTRA | LATE
VENKATESH ~ KRISHNAMURTHY | KOPPA
POUDYAL ~ SHARMA | LATE
PANT ~ PANDEY | JUMNA
PRAKASH ~ DASS | LATE
KAPOOR ~ GUPTA | JAGDISH
PATEL ~ SHIVRAMDAS | DAHYABHAI
PADULLAPARTI ~ DWADASI | VENKATA
JARIWALA ~ ATMARAM | DODHIYAWALA
BANDHI ~ KURREY | SAME
PRASAD ~ JAYASWAL | GOPAL
VARIA ~ OZA | BHOGILAL
MEWARA ~ RAM | BELA
SINGAPURI ~ CHHOTABHAI | TAGARIWALA
VARANASI ~ SESHAIAH | VENKATA
PATEL ~ JOITRAM | PRAHLADBHAZ
NAYAK ~ UPADHYAYA | LT
MATHUR ~ LAL | CHANDRA
BHATT ~ KUMAR | HARISH
OHRI ~ MALHOTRA | LATE
MULLICK ~ CHATTERJEE | BIMAL
WADEKAR ~ DAVI | TIKARAM
DUBEY ~ PANDEY | RAM
TRIVEDI ~ DAVE | RAMNIKLAL
TRIVEDI ~ MAFATLAL | BHOGILAL
TRIVEDI ~ MOTIRAM | SHUKLA
SHARMA ~ CHAN | LATE
KAUSHIK ~ JOSHI | RAJNI
SHARMA ~ LAL | KISHORI
DANGAYACH ~ GHIYA | BRIJ
DONGRE ~ LAL | ZHUMMK
CHAUDHRY ~ SINGH | MOHAR
DUGGAL ~ BHALLA | SWDERSHAN
KANUNGO ~ SAKUMIYA | KANHAIYA
CHAUDHARI ~ JESANGBHAI | NATHABHAI
SAHU ~ LALSAHU | FUTTE
CHOPRA ~ KHANNA | AMAR
CHATTERJEE ~ CHOWDHURY | LATE
DEB ~ BISWAS | LATE
MADBAIYA ~ JAIN | LATE
GURUNATHAN ~ SITARAMAN | SANKARAN
KUMAR ~ BHUSAN | BRIJ
DADEECH ~ SHARMA | LATE
GUPTA ~ LAL | MOHAN
RAWAT ~ DEVI | MANORI
CHAKRABORTY ~ DUTTA | MUKUL
AGARWAL ~ SHANKER | RAMA
SHEKHAWAT ~ SINGH | MURARI
SAXENA ~ DEVI | BHAGAN
VERMA ~ RAM | KUSHI
SHASHNI ~ THAKUR | TASHI
MAHAJAN ~ AGGARWAL | LATE
MONGA ~ RAM | MANGAT
NATARAJAN ~ MUTHUSWAMY | RAMAMOORTHY
JAIN ~ GUPTA | JITENDRA
SHARMA ~ MISHRA | RAM
SUKHANI ~ DARBANI | BHAIRU
GUPTA ~ KGUPTA | RAMPRSADJI
NIGAM ~ SHRIVASTAVA | LATE
PRASAD ~ GUPTA | SHRI
SETH ~ SACHDEVA | PREM
DUBEY ~ TRIPATHY | GIRISH
